theme,count_x,indicator
TAX_AIDGROUPS_DOCTORS_WITHOUT_BORDERS,64,
TAX_DISEASE_BODY_WEIGHT,64,
TAX_WORLDLANGUAGES_CAMBODIANS,64,
TAX_FOODSTAPLES_CASSAVA,64,
TAX_ETHNICITY_ALGERIAN,64,
TAX_FNCACT_FACILITATOR,64,
TAX_WORLDLANGUAGES_ALGERIAN,64,
TAX_WORLDLANGUAGES_MANGA,64,
UNREST_SELF_IDENTIFIED_HATE_CRIME,64,
TAX_ETHNICITY_CELTIC,64,
TAX_ETHNICITY_HILL_TRIBES,64,
TAX_WORLDLANGUAGES_BENIN,64,
WB_2179_AGRIBUSINESS,64,
WB_519_UTILITIES_GOVERNANCE_AND_PERFORMANCE,64,
WB_387_VOCATIONAL_AND_TECHNICAL_TRAINING,64,
TAX_FNCACT_COMMANDING_OFFICER,64,
TAX_DISEASE_CONGENITAL,64,
TAX_DISEASE_JAUNDICE,63,
NATURAL_DISASTER_TORRENTIAL_RAINS,63,
TAX_FNCACT_BUSINESS_LEADERS,63,
TAX_WORLDFISH_TROUT,63,
TAX_ECON_FREETRADEAGREEMENTS_FREE_TRADE_AGREEMENT,63,
TAX_WORLDFISH_BLACKFISH,63,
TAX_WORLDLANGUAGES_BOHEMIAN,63,
TAX_FNCACT_LIEUTENANT_GOVERNOR,63,
TAX_RELIGION_KOREAN_CHRISTIAN,63,
TAX_WORLDMAMMALS_WALRUS,63,
TAX_FNCACT_BRANCH_MANAGER,63,
TAX_WEAPONS_AIR_GUN,63,
TAX_RELIGION_UIGHURS,63,
TAX_TERROR_GROUP_BANGLADESH_NATIONALIST_PARTY,63,
TAX_POLITICAL_PARTY_BANGLADESH_NATIONALIST_PARTY,63,
TAX_RELIGION_ADVENTIST,63,
TAX_TERROR_GROUP_ROHINGYA_SOLIDARITY_ORGANIZATION,63,
TAX_FNCACT_TRUCK_DRIVER,63,
NATURAL_DISASTER_FLASH_FLOOD,63,
TAX_FNCACT_INVENTOR,63,
WB_1058_AGRIBUSINESS,62,
TAX_FNCACT_QUARTERMASTER_GENERAL,62,
TAX_FNCACT_FIRST_MATE,62,
TAX_FNCACT_PRACTITIONER,62,
TAX_ETHNICITY_MADHESI,62,
NATURAL_DISASTER_TROPICAL_CYCLONES,62,
WB_970_INDUSTRY_LAWS_AND_REGULATIONS,62,
TAX_POLITICAL_PARTY_CONSERVATIVE_PARTY,62,
SOC_SUSPICIOUSACTIVITY,62,
TAX_FNCACT_PUBLIC_DEFENDER,61,
NATURAL_DISASTER_BLIZZARD,61,
TAX_WORLDLANGUAGES_KIRIBATI,61,
TAX_ETHNICITY_KIRIBATI,61,
WB_327_VULNERABILITY_AND_RISK_ASSESSMENTS,61,
TAX_ETHNICITY_GEORGIAN,61,
TAX_FNCACT_BOARD_MEMBERS,61,
TAX_FNCACT_EXCAVATOR,61,
ECON_FOREIGNBANKS,61,
TAX_FNCACT_GARDENER,61,
WB_1802_MULTIMODAL_TRANSPORT,61,
TAX_FNCACT_PSYCHIATRIST,61,
TAX_WORLDLANGUAGES_GEORGIAN,61,
ECON_DEVELOPMENTORGS_INTERNATIONAL_MONETARY_FUND,61,
TAX_DISEASE_TONIC,61,
TAX_RELIGION_MAHAYANAS,61,
TAX_FNCACT_PARAMILITARY_FORCES,61,
WB_2469_NUCLEAR_AND_CHEMICAL_WAR,61,
TAX_ETHNICITY_CHOPS,61,
ENV_CARBONCAPTURE,61,
TAX_FNCACT_STEWARD,60,
TAX_FNCACT_EXECUTIONER,60,
TAX_FNCACT_PREFECT,60,
SOC_EXPRESSSUPPORT,60,
TAX_FNCACT_DEACON,60,
TAX_FNCACT_AIDES,60,
NATURAL_DISASTER_WILDFIRES,60,
TAX_WORLDREPTILES_GREEN_ANOLES,60,
TAX_FNCACT_MAIDS,60,
TAX_FNCACT_UNION_MEMBERS,60,
TAX_DISEASE_POLIO,60,
WB_2416_INTERNET_OF_THINGS,60,
TAX_AIDGROUPS_HABITAT_FOR_HUMANITY,60,HumanRights
NATURAL_DISASTER_WINTRY,59,
TAX_WORLDLANGUAGES_KONYAK,59,
TAX_WORLDLANGUAGES_SAILEN,59,
TAX_FNCACT_STALKER,59,
TAX_DISEASE_INSOMNIA,59,
TAX_FNCACT_SIGNER,59,
TAX_FNCACT_HUMANIST,59,
UNGP_JOB_OPPORTUNITIES_WORKING_CONDITIONS,59,
TAX_FNCACT_BOATMAN,59,
TAX_FNCACT_STATESMEN,59,
NATURAL_DISASTER_ICY,59,
TAX_FNCACT_CHIEF_FINANCIAL_OFFICER,59,
TAX_WORLDFISH_PANGA,59,
WB_2947_OPERATING_SYSTEMS,59,
TAX_ETHNICITY_LATINOS,59,
TAX_WORLDLANGUAGES_RAWANG,59,
TAX_POLITICAL_PARTY_SOCIAL_DEMOCRATS,59,
WB_963_NATURAL_RESOURCES_LAW,59,
TAX_DISEASE_BIRD_FLU,59,
TAX_FNCACT_ILLUSTRATOR,59,
ECON_ELECTRICALPRICE,59,
TAX_FNCACT_CLERICS,58,
TAX_WORLDFISH_ROACH,58,
NATURAL_DISASTER_TROPICAL_CYCLONE,58,
SOC_TECHNOLOGYSECTOR,58,
TAX_DISEASE_POISONED,58,
TAX_FNCACT_TUTOR,58,
TAX_WORLDFISH_TORPEDO,58,
TAX_FNCACT_HERDSMEN,58,
SOC_CHILDSOLDIER,58,
GOV_STATE_FAILURE,58,
TAX_WORLDMAMMALS_ZEBRA,58,
TAX_FNCACT_FIREFIGHTER,58,
TAX_WORLDLANGUAGES_SWATI,58,
TAX_RELIGION_OCCULT,58,
TAX_FNCACT_CREATIVE_DIRECTOR,58,
TAX_FNCACT_INNOVATOR,58,
TAX_WORLDLANGUAGES_WELSH,57,
WB_744_SOCIAL_ANALYSIS,57,
TAX_ETHNICITY_SCANDINAVIAN,57,
TAX_WEAPONS_MACHETES,57,
TAX_DISEASE_PHOBIA,57,
TAX_DISEASE_MENTAL_ILLNESS,57,
TAX_WEAPONS_TORPEDO,57,
TAX_FNCACT_UNDERSECRETARY,57,
TAX_FNCACT_PROGRAM_DIRECTOR,57,
TAX_FNCACT_RUNNING_MATE,57,
TAX_FNCACT_DOCKWORKERS,57,
TAX_FNCACT_LEFTISTS,57,
WB_1102_ADMINISTRATIVE_LAW,57,
WB_1057_SUSTAINABLE_FOREST_MANAGEMENT,57,
TAX_ETHNICITY_WELSH,57,
WB_655_INFORMATION_MANAGEMENT,57,
TAX_WORLDLANGUAGES_DARIEN,56,
WB_2100_ADMINSTRATIVE_SIMPLIFICATION,56,
TAX_WORLDMAMMALS_GIRAFFE,56,
WB_483_VOCATIONAL_EDUCATION_AND_TRAINING,56,Schooling
TAX_WORLDLANGUAGES_PRADHAN,56,
TAX_DISEASE_SUNSTROKE,56,
TAX_FNCACT_NOBLEMAN,56,
TAX_FNCACT_REPAIRER,56,
TAX_WORLDMAMMALS_ASS,56,
TAX_ETHNICITY_LITHUANIAN,56,
TAX_FNCACT_DELIVERY_MEN,56,
TAX_FNCACT_FACILITATORS,56,
TAX_TERROR_GROUP_MUJAHIDEEN,56,
TAX_FNCACT_OVERSEER,56,
TAX_FNCACT_STEWARDS,56,
TAX_WORLDREPTILES_BROWN_ANOLES,56,
TAX_ETHNICITY_MOROCCANS,56,
NATURAL_DISASTER_FLOOD_WARNING,56,
TAX_WORLDLANGUAGES_CHING,56,
TAX_RELIGION_THERAVADA_BUDDHISM,55,
TAX_TERROR_GROUP_BLACK_HAND,55,
TAX_RELIGION_SHAKER,55,
DISCRIMINATION_IMMIGRATION_XENOPHOBIC,55,
TAX_FNCACT_PREACHERS,55,
TAX_WORLDLANGUAGES_LITHUANIAN,55,
TAX_ETHNICITY_TERNATE,55,
TAX_FNCACT_SALESMAN,54,
TAX_WORLDLANGUAGES_BARUA,54,
TAX_FNCACT_WEAVER,54,
TAX_WORLDLANGUAGES_BARBADOS,54,
TAX_WORLDFISH_MINNOWS,54,
WB_733_SOCIAL_ACCOUNTABILITY,54,
TAX_FNCACT_SEAMAN,54,
TAX_WORLDLANGUAGES_ONEIDA,54,
TAX_RELIGION_SUFI,54,
TAX_WORLDLANGUAGES_MOKEN,54,
TAX_AIDGROUPS_UNITED_NATIONS_CHILDREN_FUND,54,
TAX_FNCACT_LACKEYS,54,
ECON_DEVELOPMENTORGS_UNITED_NATIONS_CHILDREN_FUND,54,
NATURAL_DISASTER_INTENSE_RAINFALL,54,
TAX_WORLDARACHNIDS_SPIDERS,54,
TAX_WORLDLANGUAGES_FARSI,54,
HUMAN_RIGHTS_ABUSES_MASS_GRAVES,54,HumanRights
WB_816_STRATEGIC_URBAN_PLANNING,54,
SOC_POINTSOFINTEREST_ARMY_BASES,53,
TAX_ETHNICITY_NEPALIS,53,
TAX_WORLDLANGUAGES_NEPALIS,53,
TAX_DISEASE_ILLUSIONS,53,
TAX_ETHNICITY_MALAGA,53,
TAX_FNCACT_CANOEIST,53,
TAX_ETHNICITY_MANIPURI,53,
TAX_DISEASE_HALLUCINATIONS,53,
WB_351_PAYMENT_AND_MARKET_INFRASTRUCTURE,53,
FOOD_STAPLE,53,
MANMADE_DISASTER_AGROUND,53,
TAX_WEAPONS_SHOTGUNS,53,
TAX_FNCACT_FILM_DIRECTOR,53,
ECON_WORLDCURRENCIES_RUBLES,53,
TAX_DISEASE_WEIGHT_LOSS,53,
TAX_FNCACT_CMO,53,
TAX_WORLDLANGUAGES_MANIPURI,53,
TAX_WORLDLANGUAGES_KIKUYU,53,
TAX_ETHNICITY_KIKUYU,53,
NATURAL_DISASTER_HIGH_WATER,53,
TAX_WORLDLANGUAGES_SUNGAI,53,
TAX_FNCACT_CAMPAIGNER,53,
TAX_FNCACT_GOVERNOR_GENERAL,53,
TAX_WORLDLANGUAGES_ARAKANESE,53,
TAX_WORLDLANGUAGES_KARAM,53,
WB_1922_GOVERNANCE_STRUCTURES,53,
MANMADE_DISASTER_POWER_BLACKOUT,53,
TAX_FNCACT_ADMINISTRATIVE_OFFICIALS,52,
TAX_WORLDINSECTS_WASP,52,
TAX_WORLDLANGUAGES_ANYAR,52,
TAX_AIDGROUPS_UNITED_STATES_AGENCY_FOR_INTERNATIONAL,52,
TAX_WORLDFISH_PIKE,52,
SOC_POINTSOFINTEREST_GOVERNMENT_BUILDINGS,52,
TAX_POLITICAL_PARTY_FATAH,52,
TAX_FNCACT_BEGGAR,52,
ECON_DEVELOPMENTORGS_UNITED_STATES_AGENCY_FOR_INTERNATIONAL,52,
TAX_FNCACT_LYRICIST,52,
TAX_WORLDLANGUAGES_LIMBU,52,
TAX_DISEASE_SPEECH_DEVELOPMENT,52,
WB_972_CONSTRUCTION_LAW_AND_PERMITS,52,
TAX_FNCACT_HAWKER,52,
TAX_DISEASE_LUNG_CANCER,52,
TAX_RELIGION_ATHEIST,52,
TAX_WORLDBIRDS_SEAGULL,52,
TAX_FNCACT_REFORMERS,52,
TAX_FNCACT_ART_DIRECTOR,52,
TAX_FNCACT_CARPENTERS,52,
EPU_POLICY_FEDERAL_RESERVE,52,
TAX_FNCACT_SETTLER,52,
TAX_WORLDLANGUAGES_HKAMTI,52,
TAX_DISEASE_SLEEP_DEPRIVATION,52,
WB_737_LOCAL_GOVERNANCE,51,
TAX_FNCACT_RIGHTHAND_MAN,51,
WB_847_COMPANY_AND_CORPORATE_LAW,51,
WB_353_PAYMENT_SYSTEMS,51,
TAX_ETHNICITY_IRANIANS,51,
TAX_WORLDCRUSTACEANS_CRUSTACEANS,51,
TAX_POLITICAL_PARTY_REPUBLICAN_PARTY,51,
TAX_WORLDFISH_TOPLESS,51,
TAX_WORLDLANGUAGES_TUNISIAN,51,
TAX_WORLDMAMMALS_CHEETAHS,51,
TAX_WORLDFISH_ROACHES,51,
TAX_FNCACT_GARDENERS,51,
TAX_RELIGION_ASSEMBLY_OF_GOD,51,
TAX_FNCACT_REAR_ADMIRAL,51,
WB_2435_CHILD_SOLDIERS,51,
TAX_FNCACT_STRIKER,51,
SOC_SUSPICIOUSPEOPLE,51,
TAX_FNCACT_CONGRESSMEN,51,
TAX_FNCACT_EXECUTIVE_SECRETARY,50,
TAX_WORLDLANGUAGES_CHUMASH,50,
TAX_FNCACT_NAVIGATOR,50,
WB_1447_GERIATRICS,50,
WB_588_CONSERVATION_FINANCE,50,
TAX_ETHNICITY_ALTAY,50,
ECON_DEVELOPMENTORGS_WORLD_FOOD_PROGRAM,50,
TAX_FNCACT_PADRES,50,
WB_752_CONTRIBUTORY_BENEFITS,50,
TAX_DISEASE_FRACTURES,50,
NATURAL_DISASTER_WEATHER_EMERGENCY,50,
TAX_FNCACT_MILITIAMEN,50,
TAX_WORLDLANGUAGES_JINHUA,50,
SOC_EARLYMARRIAGE,50,
TAX_WORLDREPTILES_ALLIGATOR_SNAPPING_TURTLE,50,
WB_1757_REDUCED_EMISSIONS_FROM_DEFORESTATION_AND_DEGRADATION,50,
WB_479_EARLY_CHILD_DEVELOPMENT,50,
TAX_FNCACT_CENSUS_TAKERS,50,
TAX_DISEASE_PHAGOCYTOSIS,50,
TAX_RELIGION_SHARIA,49,
TAX_FNCACT_BARD,49,
TAX_ETHNICITY_PACIFIC_ISLANDER,49,
TAX_WORLDLANGUAGES_FLEMISH,49,
WB_2363_MOBILE_APPLICATIONS,49,
TAX_WORLDLANGUAGES_CHEDI,49,
TAX_ETHNICITY_KALMYK,49,
TAX_DISEASE_BREAST_CANCER,49,
WB_1851_BIOCARBON,49,
TAX_ETHNICITY_INDOCHINESE,49,
TAX_DISEASE_PATHOGENS,49,
WB_848_LABOR_AND_EMPLOYMENT_LAWS_AND_REGULATIONS,49,
WB_289_TELECOMMUNICATIONS_LAW_AND_REGULATION,49,
SOC_POINTSOFINTEREST_HEALTH_CENTER,49,
TAX_ETHNICITY_BULGARIANS,49,
TAX_WORLDCRUSTACEANS_CRAYFISH,49,
TAX_FNCACT_ASTRONOMER,49,
TAX_ETHNICITY_ITALIANS,49,
TAX_WORLDLANGUAGES_ITALIANS,49,
TAX_WORLDLANGUAGES_BULGARIANS,49,
TAX_WORLDARACHNIDS_SCORPION,49,
WB_1317_RURAL_HEALTH,49,
TAX_FNCACT_2ND_LT,49,
TAX_MILITARY_TITLE_2ND_LT,49,
TAX_FNCACT_COACHES,48,
TAX_DISEASE_NEUROPATHY,48,
TAX_DISEASE_OCCLUSION,48,
TAX_FNCACT_PARATROOPERS,48,
TAX_WORLDLANGUAGES_PHONG,48,
TAX_FNCACT_MIDWIFE,48,
TAX_FNCACT_CROWN_PRINCE,48,
TAX_FNCACT_FARMHAND,48,
TAX_AIDGROUPS_INTERNATIONAL_RESCUE_COMMITTEE,48,
WB_1028_INTERNATIONAL_BOUNDARIES,48,
TAX_FNCACT_GROUP_CAPTAIN,48,
MANMADE_DISASTER_CAR_CRASH,48,
TAX_FNCACT_INTERNATIONALIST,48,
TAX_FNCACT_STEWARDESS,48,
TAX_FNCACT_MANAGING_EDITOR,47,
UNREST_MASS_ARREST,47,
TAX_DISEASE_DENGUE_FEVER,47,
WB_589_ECOTOURISM,47,
WB_1959_LINKING_FARMERS_WITH_MARKETS,47,
TAX_WORLDLANGUAGES_BOSNIAN,47,
TAX_FNCACT_EXECUTIVE_OFFICERS,47,
TAX_WORLDLANGUAGES_KAZAKH,47,
TAX_FNCACT_GOLDSMITH,47,
TAX_FNCACT_SOCIAL_WORKERS,47,
WB_2576_REGIONAL_INTEGRATION,47,
WB_1442_BREASTFEEDING,47,
TAX_WORLDLANGUAGES_BABAR,47,
TAX_ETHNICITY_KAZAKH,47,
TAX_FNCACT_LABOURER,47,
TAX_FNCACT_DEMOGRAPHER,47,
TAX_AIDGROUPS_GREENPEACE,47,
TAX_DISEASE_AMNESIA,46,
TAX_FNCACT_THEOLOGIAN,46,
TAX_FNCACT_PROGRAMMER,46,
NATURAL_DISASTER_TREMORS,46,
TAX_RELIGION_PAGAN,46,
TAX_FNCACT_JOCKEY,46,
WB_1017_CONSUMER_PROTECTION_LAW,46,
TAX_WORLDLANGUAGES_SLAVIC,46,
WB_1984_OCEAN_POLLUTION,46,
TAX_WORLDBIRDS_CROWS,46,
TAX_FNCACT_HELPERS,46,
TAX_FOODSTAPLES_SOYBEANS,46,
SOC_DEGRADINGTREATMENT,46,
TAX_WORLDLANGUAGES_KACHARI,46,
TAX_FNCACT_PROCTOR,46,
TAX_DISEASE_EDEMA,46,
TAX_WORLDLANGUAGES_HINDUSTANI,45,
TAX_ETHNICITY_HINDUSTANI,45,
WB_994_LAND_RECLAMATION,45,
TAX_FNCACT_INTELLIGENCE_OFFICER,45,
TAX_FNCACT_STRINGER,45,
SLFID_PEACE_BUILDING,45,
TAX_WEAPONS_MACHETE,45,
TAX_WORLDFISH_GRUNT,45,
WB_1798_WATER_POLLUTION,45,
TAX_WORLDLANGUAGES_DECCAN,45,
TAX_POLITICAL_PARTY_CONSTITUTION_PARTY,45,
WB_1960_FARM_INPUTS,45,
NATURAL_DISASTER_AVALANCHES,45,
GENTRIFICATION,45,
TAX_WORLDLANGUAGES_LUSHAI,45,
TAX_ETHNICITY_KYRGYZ,45,
TAX_FNCACT_DEATH_SQUADS,44,
TAX_DISEASE_DYSENTERY,44,
TAX_WORLDINSECTS_MOTH,44,
NATURAL_DISASTER_TREMOR,44,
WB_154_FLOOD_PROTECTION,44,
TAX_DISEASE_GUINEA_WORM,44,
TAX_AGRICULHARMINSECTS_MOTH,44,
TAX_WORLDLANGUAGES_ANGIE,44,
TAX_WORLDMAMMALS_KANGAROO,44,
WB_1169_MICRO_ENTERPRISES,44,
TAX_DISEASE_TREMOR,44,
WB_821_DISASTER_RISK_REDUCTION,44,
TAX_FOODSTAPLES_PLANTAIN,44,
MANMADE_DISASTER_OIL_SPILL,44,
WB_2750_LABOR_FORCE,44,
TAX_FNCACT_COWBOYS,44,
TAX_FNCACT_CIO,43,
TAX_FNCACT_BARTENDERS,43,
MANMADE_DISASTER_DERAILMENT,43,
TAX_FNCACT_TEAMSTERS,43,
EPU_POLICY_DUMA,43,
WB_192_AGRICULTURAL_TRADE,43,
TAX_TERROR_GROUP_ISLAMIC_JIHAD,43,
TAX_WEAPONS_GUNSHIPS,43,
TAX_FNCACT_POLITICO,43,
HUMAN_RIGHTS_ABUSES_SUMMARY_EXECUTIONS,43,HumanRights
TAX_DISEASE_FACIES,43,
WB_1020_LAW_OF_THE_SEA,43,
TAX_FNCACT_TROOPERS,43,
TAX_FNCACT_SEAFARERS,43,
TAX_FNCACT_MERCENARY,43,
WB_2457_CYBER_CRIME,43,
TAX_DISEASE_HIV_AIDS,43,
TAX_FNCACT_CHIEF_OF_POLICE,43,
TAX_FNCACT_PRIVATE_INVESTIGATOR,43,
TAX_FNCACT_VIOLINIST,43,
TAX_WORLDLANGUAGES_MUNDA,42,
TAX_WORLDFISH_SERGEANT_MAJOR,42,
TAX_DISEASE_ANGINA,42,
TAX_ETHNICITY_MUNDA,42,
TAX_WORLDLANGUAGES_AMINA,42,
TAX_ETHNICITY_SLAVIC,42,
NATURAL_DISASTER_HIGH_WATERS,42,
TAX_WORLDMAMMALS_DOMESTIC_CATS,42,
WB_2789_LABOR_CONTRACTS,42,
NATURAL_DISASTER_SEVERE_WEATHER,42,
TAX_FNCACT_SERGEANT_MAJOR,42,
SOC_POINTSOFINTEREST_HIGH_SCHOOLS,42,Schooling
TAX_WORLDLANGUAGES_ARIANA,42,
TAX_WORLDFISH_EELS,42,
WB_1672_WORKING_HOURS,42,
TAX_FNCACT_CABINET_MINISTERS,42,
TAX_WORLDFISH_MAHSEER,42,
TAX_WORLDMAMMALS_FERRET,42,
TAX_DISEASE_FLUSHING,42,
TAX_FNCACT_WAITRESS,42,
TAX_FNCACT_TELLER,42,
TAX_POLITICAL_PARTY_REFORM_MOVEMENT,42,
WB_532_BIOFUELS_ENERGY,41,
TAX_DISEASE_SHINGLES,41,
TAX_DISEASE_EPILEPSY,41,
TAX_RELIGION_MOSLEM,41,
TAX_ETHNICITY_KENYANS,41,
WB_872_SMART_CITIES,41,
TAX_FNCACT_ROLE_MODELS,41,
TAX_DISEASE_THRUSH,41,
TAX_DISEASE_HYSTERIA,41,
WB_2668_INCOME_INEQUALITY,41,
TAX_ETHNICITY_SAMI,41,
TAX_FNCACT_FINANCE_DIRECTOR,41,
WB_2063_INTERNAL_AUDIT,41,
TAX_ETHNICITY_VENEZUELANS,41,
TAX_FNCACT_CONCIERGE,41,
WB_596_COASTAL_AND_MARINE_ECOSYSTEMS,41,
TAX_FNCACT_MESSENGERS,41,
TAX_MILITARY_TITLE_SERGEANT_MAJOR,41,
TAX_FNCACT_SELFEMPLOYED,41,
TAX_WORLDCRUSTACEANS_HERMIT_CRABS,41,
TAX_WORLDLANGUAGES_OVIEDO,41,
TAX_WORLDLANGUAGES_MALAYALAM,41,
TAX_FNCACT_INTERVIEWER,41,
TAX_WORLDFISH_KOI,41,
TAX_FNCACT_SALESPERSON,41,
TAX_ETHNICITY_MALAYALAM,41,
TAX_ETHNICITY_MIZOS,41,
WB_2107_PRICE_CONTROLS,41,
TAX_TERROR_GROUP_PEOPLE_REVOLUTIONARY_PARTY,41,
TAX_ETHNICITY_SERBS,41,
TAX_FNCACT_HOSTESS,40,
WB_2271_M_AND_E_IMPACT,40,
TAX_WORLDLANGUAGES_BALOCHI,40,
TAX_WORLDLANGUAGES_MICCOSUKEE,40,
NATURAL_DISASTER_TIDAL_WAVE,40,
WB_1686_IMPACT_ASSESSMENT,40,
TAX_FNCACT_UNIONISTS,40,
MANMADE_DISASTER_WITHOUT_POWER,40,
WB_1307_PRIMARY_CARE,40,
TAX_FNCACT_PEACEKEEPERS,40,
HUMAN_RIGHTS_ABUSES_FORCED_MARRIAGE,40,HumanRights
TAX_FNCACT_BARMAN,40,
NATURAL_DISASTER_SMOG,40,
TAX_WORLDINSECTS_WASPS,40,
TAX_WORLDLANGUAGES_ARANDA,40,
TAX_WORLDFISH_YELLOWTAIL,40,
TAX_FNCACT_INDUSTRIALISTS,40,
WB_544_MID_AND_DOWNSTREAM_OIL_AND_GAS,40,
TAX_WORLDLANGUAGES_SHASHI,40,
TAX_WEAPONS_IMPROVISED_EXPLOSIVE_DEVICES,40,
ECON_PRICECONTROL,40,
TAX_WORLDLANGUAGES_GENTOO,40,
WB_836_POLITICAL_ECONOMY_OF_REFORM,40,
TAX_FNCACT_LECTURERS,39,
TAX_TERROR_GROUP_SOMALI_PIRATES,39,
ECON_WORLDCURRENCIES_PESOS,39,
TAX_WORLDARACHNIDS_TARANTULA,39,
MANMADE_DISASTER_WITHOUT_ELECTRICITY,39,
TAX_DISEASE_CONSTRICTION,39,
TAX_ETHNICITY_SUFI,39,
TAX_MILITARY_TITLE_REAR_ADMIRAL,39,
TAX_FNCACT_COUNSELLORS,39,
TAX_WORLDMAMMALS_BOBCAT,39,
TAX_FNCACT_OFFICEHOLDER,39,
TAX_FNCACT_HOBO,39,
TAX_DISEASE_DELIRIUM,39,
TAX_WORLDMAMMALS_ELK,39,
TAX_FNCACT_BARONESS,39,
WB_380_FUNDING_INNOVATION,39,
WB_382_TAX_CREDITS_AND_DIRECT_SUBSIDIES,39,
TAX_FNCACT_FIREMAN,39,
TAX_FNCACT_CAREGIVER,39,
TAX_FNCACT_VICE_ADMIRAL,39,
TAX_ETHNICITY_SURI,39,
WB_2505_WEAPONS_OF_MASS_DESTRUCTION,39,
NATURAL_DISASTER_ERUPTIONS,39,
TAX_FNCACT_ADVERTISERS,39,
TAX_DISEASE_DWARFISM,39,
WB_2085_PUBLIC_SECTOR_DOWNSIZING,39,
TAX_DISEASE_MUSCULAR_DYSTROPHY,39,
WB_2054_SIZE_OF_THE_PUBLIC_SERVICE,39,
TAX_DISEASE_IMPOTENCE,39,
TAX_FNCACT_TRUCKERS,39,
NATURAL_DISASTER_FOREST_FIRE,38,
WB_1285_BUSINESS_TAXATION,38,
NATURAL_DISASTER_DROWN,38,
TAX_WEAPONS_LAND_MINE,38,
TAX_FNCACT_WARRANT_OFFICER,38,
TAX_ETHNICITY_MAYAN,38,
TAX_FNCACT_PARAMILITARY_FORCE,38,
TAX_WORLDLANGUAGES_BLANG,38,
MED_EMERGENCYROOM,38,
TAX_ETHNICITY_BLANG,38,
TAX_WORLDLANGUAGES_PALAWAN,38,
NATURAL_DISASTER_FLOODWATER,38,
TAX_WORLDINSECTS_LOCUST,38,
HUMAN_RIGHTS_ABUSES_ELECTRIC_SHOCKS,38,HumanRights
TAX_FNCACT_FREELANCER,38,
TAX_RELIGION_PARSI,38,
TAX_WORLDLANGUAGES_PARSI,38,
TAX_DISEASE_INFECTIOUS_DISEASE,38,
TAX_FNCACT_SCRIBE,38,
TAX_AGRICULHARMINSECTS_LOCUST,38,
TAX_FNCACT_RESEARCH_ASSISTANT,38,
WB_2418__D_PRINTING,38,
TAX_POLITICAL_PARTY_YOUTH_PARTY,38,
WB_964_PROPERTY_AND_LAND_LAW,38,
TAX_WORLDLANGUAGES_MALBA,38,
TAX_WORLDFISH_TORPEDOES,38,
NATURAL_DISASTER_LOCUST,38,
TAX_DISEASE_ALLERGIC,38,
TAX_MILITARY_TITLE_WARRANT_OFFICER,37,
NATURAL_DISASTER_FLOODED_ROAD,37,
TAX_DISEASE_AUTISM,37,
TAX_DISEASE_PERIPHERAL_NEUROPATHY,37,
TAX_RELIGION_ATHEISTS,37,
TAX_WORLDLANGUAGES_GYPSY,37,
TAX_WORLDFISH_GROUPER,37,
DISCRIMINATION_RELIGION_ISLAMOPHOBIC,37,
TAX_TERROR_GROUP_DEMOCRATIC_PROGRESSIVE_PARTY,37,
TAX_FNCACT_BUSINESS_LEADER,37,
WB_2106_MARKET_COMPETITION_ADVOCACY_AND_LIBERALIZATION,37,
TAX_POLITICAL_PARTY_DEMOCRATIC_PROGRESSIVE_PARTY,37,
TAX_WORLDLANGUAGES_BALINESE,37,
TAX_ETHNICITY_JAVANESE,37,
TAX_FNCACT_PRINCESSES,37,
WB_945_JUDICIAL_INDEPENDENCE,37,
TAX_FNCACT_GOVERNMENT_MINISTER,37,
TAX_DISEASE_FARSIGHTEDNESS,37,
TAX_WORLDLANGUAGES_MECHI,37,
TAX_FNCACT_FACULTY_MEMBER,37,
TAX_FNCACT_FUND_MANAGER,37,
TAX_ETHNICITY_TIGRAY,37,
WB_1112_GOVERNMENT_EXPENDITURE,37,
WB_597_ECOSYSTEM_SERVICES,37,
TAX_FNCACT_SURGEONS,37,
TAX_WORLDMAMMALS_DOMESTIC_CAT,37,
WB_2186_SOCIAL_HOUSING,37,
WB_921_SAFETY_NETS,37,
TAX_WORLDLANGUAGES_JAVANESE,37,
TAX_FNCACT_CITY_MANAGER,37,
TAX_ETHNICITY_BURMANS,37,
TAX_WORLDLANGUAGES_CHECHEN,36,
NATURAL_DISASTER_TROPICAL_STORMS,36,
TAX_POLITICAL_PARTY_SOCIAL_DEMOCRATIC_PARTY,36,
TAX_WORLDLANGUAGES_MARMA,36,
TAX_DISEASE_PLACENTA,36,
WB_2586_LANDLOCKED_COUNTRIES,36,
TAX_ETHNICITY_CHECHEN,36,
ECON_NATGASPRICE,36,
TAX_ETHNICITY_LAOTIANS,36,
TAX_FNCACT_CRUSADER,36,
WB_371_BRANCHLESS_BANKING,36,
TAX_WORLDFISH_GOLDFISH,36,
WB_1423_NEGLECTED_TROPICAL_DISEASES,36,
TAX_FNCACT_REFORMISTS,36,
TAX_FNCACT_BLACKSMITHS,36,
TAX_FNCACT_EVANGELIST,36,
TAX_WORLDLANGUAGES_KARON,36,
TAX_FNCACT_FINANCIER,36,
TAX_AIDGROUPS_UNITED_NATIONS_DEVELOPMENT_PROGRAMME,36,
TAX_WORLDLANGUAGES_MARINO,36,
TAX_FNCACT_GUNSMITH,36,
TAX_FNCACT_WRONGDOERS,36,
