theme,count,indicator
TAX_POLITICAL_PARTY_COMMUNISTS,502,
TAX_FNCACT_GOVERNMENT_MINISTERS,501,
WB_1614_NUTRITIONAL_PROGRAMS,501,
TAX_FNCACT_LANDLORD,501,
ENV_NUCLEARPOWER,499,
TAX_ETHNICITY_LATINOS,498,
TAX_WORLDLANGUAGES_SLOVAK,497,
NATURAL_DISASTER_FRIGID,496,
TAX_FNCACT_SMUGGLER,496,
TAX_DISEASE_DIARRHEA,495,
TAX_FNCACT_ESCORT,493,
TAX_WEAPONS_PISTOL,492,
WB_1918_SECURITIES_MARKETS,489,
ECON_ELECTRICALGRID,488,
TAX_FOODSTAPLES_GRAIN,485,
WB_1917_INTELLECTUAL_PROPERTY,483,
TAX_TERROR_GROUP_DEMOCRATIC_KAREN_BUDDHIST_ARMY,482,
TAX_SPECIALDEATH,482,
NATURAL_DISASTER_DROUGHT,482,
TAX_AIDGROUPS_RED_CRESCENT,481,
MANMADE_DISASTER_RESTORE_POWER,480,
TAX_ETHNICITY_PERUVIAN,480,
TAX_FNCACT_DANCER,479,
TAX_FNCACT_KNIGHT,479,
WB_1948_SUBSIDIES,479,
TAX_WEAPONS_GUNSHIPS,478,
TAX_FNCACT_GOVERNMENT_MINISTER,477,
ECON_DEVELOPMENTORGS_INTERNATIONAL_MONETARY_FUND,476,
NATURAL_DISASTER_TSUNAMI,475,
TAX_AIDGROUPS_OXFAM,475,
TAX_WORLDBIRDS_RUFF,473,
NATURAL_DISASTER_FLASH_FLOODS,469,
TAX_WORLDLANGUAGES_NAGAR,469,
WB_290_TELECOMMUNICATIONS_ORGANIZATIONAL_DESIGN,467,
NATURAL_DISASTER_HEATWAVE,466,
WB_2667_RURAL_DEVELOPMENT,466,
WB_751_SOCIAL_INSURANCE,464,
WB_334_EQUITY_MARKETS,464,
TAX_FNCACT_CLERK,463,
TAX_ETHNICITY_ARI,463,
TAX_DISEASE_CHOLERA,463,
TAX_WORLDLANGUAGES_ETHIOPIAN,463,
TAX_FNCACT_BOSSES,462,
TAX_FNCACT_COMMUNISTS,462,
TAX_FNCACT_COWBOY,461,
TAX_FNCACT_INSIDERS,461,
TAX_WORLDLANGUAGES_MALAY,461,
TAX_WEAPONS_WARSHIPS,460,
TAX_FNCACT_FIRE_CHIEF,460,
TAX_FNCACT_PRACTITIONERS,459,
ECON_MIDDLECLASS,458,
TAX_FNCACT_FACTORY_WORKER,455,
NATURAL_DISASTER_WATER_LEVEL,455,
TAX_ETHNICITY_MALAY,455,
TAX_WORLDLANGUAGES_ANDHRA,454,
TAX_ETHNICITY_LAOTIAN,454,
TAX_ETHNICITY_BURMANS,454,
TAX_FNCACT_MIGRANT_WORKER,454,
SOC_POINTSOFINTEREST_HIGH_SCHOOLS,454,Schooling
HUMAN_RIGHTS_ABUSES_HUMAN_RIGHTS_ABUSE,453,HumanRights
WB_2375_ICT_METHODS_AND_PROCEDURES,453,
TAX_WORLDLANGUAGES_LAOTIAN,451,
SLFID_PEACE_BUILDING,451,
TAX_WORLDMAMMALS_JAGUAR,451,
TAX_FNCACT_LANCE_CORPORAL,450,
TAX_WEAPONS_TEARGAS,450,
TAX_WORLDREPTILES_CROCODILE,450,
TAX_FOODSTAPLES_BANANAS,449,
NATURAL_DISASTER_TORNADOES,448,
SOC_POLARIZED,448,
SUICIDE_ATTACK,446,
TAX_WORLDINSECTS_BEE,445,
TAX_FNCACT_BRIDE,441,
TAX_RELIGION_SYNAGOGUE,441,
TAX_FNCACT_DRUMMER,441,
TAX_ETHNICITY_ZHUANG,440,
SOC_POINTSOFINTEREST_GOVERNMENT_BUILDINGS,440,
TAX_WORLDLANGUAGES_ZHUANG,440,
WB_2132_APPRENTICESHIP,439,
NATURAL_DISASTER_WILDFIRE,439,
WB_1050_AQUACULTURE,437,
TAX_FNCACT_SLAVE,436,
GOV_INTERGOVERNMENTAL,435,
TAX_FNCACT_REGULATOR,435,
GENERAL_PUBLIC_OPINION,434,
NATURAL_DISASTER_CHILL,434,
TAX_DISEASE_VOMITING,431,
TAX_DISEASE_MEASLES,430,
TAX_DISEASE_OBESITY,430,
ECON_MONOPOLY,429,
TAX_FNCACT_MAGNATE,429,
TAX_FNCACT_TRAINER,429,
ENV_WINDPOWER,428,
WB_367_MICROFINANCE,428,
WB_882_MSME_FINANCE,428,
WB_1432_HYPERTENSION,428,
WB_752_CONTRIBUTORY_BENEFITS,427,
TAX_FNCACT_NAVIGATOR,426,
TAX_FNCACT_WARRIOR,426,
TAX_WORLDLANGUAGES_MILANO,426,
TAX_FNCACT_TECHNICIAN,425,
TAX_FNCACT_SLAVES,424,
TAX_FNCACT_MEDICAL_WORKER,423,
WB_740_FORCED_DISPLACEMENT,422,
TAX_DISEASE_PREGNANCY,422,
TAX_FNCACT_TENANT,421,
TAX_RELIGION_UYGHUR,420,
TAX_ETHNICITY_UYGHUR,420,
TAX_WORLDLANGUAGES_UYGHUR,420,
TAX_FNCACT_COMPANION,417,
TAX_DISEASE_DYSENTERY,417,
CRISISLEX_C08_TELECOM,416,
TAX_FNCACT_SEAMAN,416,
NATURAL_DISASTER_TROPICAL_CYCLONES,415,
TAX_FNCACT_ARCHITECTS,414,
TAX_ETHNICITY_ASIANS,414,
TAX_POLITICAL_PARTY_FORZA_ITALIA,413,
TAX_WORLDFISH_SERGEANT_MAJOR,412,
TAX_FNCACT_SERGEANT_MAJOR,412,
TAX_MILITARY_TITLE_SERGEANT_MAJOR,412,
TAX_FNCACT_BODYGUARD,410,
ECON_EMERGINGECON,410,
TAX_FNCACT_RESTAURATEUR,409,
WB_1859_CHILD_LABOR,407,
TAX_ETHNICITY_SCOTTISH,406,
TAX_FNCACT_COLUMNIST,406,
TAX_FNCACT_CFO,405,
WB_1720_CITY_STRATEGIES_AND_TERRITORIAL_PLANNING,405,
WB_1674_HEALTH_AND_SAFETY_CONDITIONS,403,
TAX_WORLDLANGUAGES_KAYAN,403,
WB_932_DEMOBILISATION_DISARMAMENT_AND_REINTEGRATION,402,
WB_2474_DISARMAMENT_DEMOBILIZATION_REINTEGRATION,402,
TAX_WORLDLANGUAGES_AFGHANS,401,
ENV_SPECIESENDANGERED,401,
TAX_FNCACT_MARINER,399,
TAX_FNCACT_FATHERS,399,
TAX_ECON_FREETRADEAGREEMENTS_FREE_TRADE_AGREEMENT,398,
TAX_WORLDFISH_POWS,398,
TAX_FNCACT_YOUNGSTERS,397,
TAX_FNCACT_SECRETARIES,395,
TAX_WORLDLANGUAGES_ALBANIAN,394,
TAX_FNCACT_INSTIGATORS,394,
TAX_ETHNICITY_ALBANIAN,394,
TAX_FNCACT_BUSINESS_LEADERS,393,
TAX_TERROR_GROUP_AWAMI_LEAGUE,393,
WB_598_ENVIRONMENTAL_MANAGEMENT,393,
WB_1434_HEART_DISEASE,393,
TAX_WORLDLANGUAGES_KANSA,392,
TAX_FNCACT_SAILOR,391,
TAX_ETHNICITY_BELGIAN,390,
WB_1686_IMPACT_ASSESSMENT,389,
WB_2271_M_AND_E_IMPACT,389,
TAX_FNCACT_ENTERTAINERS,389,
TAX_WORLDLANGUAGES_HAWAIIAN,388,
ECON_WORLDCURRENCIES_AUSTRALIAN_DOLLARS,388,
TAX_FNCACT_LOBBYIST,388,
TAX_FNCACT_INTERPRETER,388,
TAX_WORLDLANGUAGES_BARBADOS,387,
TAX_FNCACT_COOKS,387,
TAX_WORLDLANGUAGES_TEDIM,386,
TAX_ETHNICITY_HUNGARIAN,386,
TAX_FNCACT_FOOL,386,
TAX_FNCACT_AUDITOR,385,
TAX_AIDGROUPS_INTERNATIONAL_ORGANIZATION_FOR_MIGRATION,385,
TAX_WORLDLANGUAGES_HUNGARIAN,385,
WB_385_HUMAN_CAPITAL_FOR_INNOVATION_AND_ENTREPRENEURSHIP,385,
TAX_FNCACT_STAFFER,384,
TAX_WORLDMAMMALS_BAT,384,
ECON_DEVELOPMENTORGS_INTERNATIONAL_ORGANIZATION_FOR_MIGRATION,384,
TAX_ETHNICITY_HAWAIIAN,383,
WB_2760_EMPLOYMENT_TOOLS_AND_METHODS,383,
TAX_ETHNICITY_BOLIVIA,383,
TAX_WORLDLANGUAGES_METTA,383,
TAX_FNCACT_APPRENTICE,383,
WB_387_VOCATIONAL_AND_TECHNICAL_TRAINING,382,
ECON_IPO,379,
TAX_TERROR_GROUP_CHIN_NATIONAL_ARMY,378,
TAX_FNCACT_EXPLORER,378,
WB_1054_FOOD_BORNE_DISEASES,376,
WB_1793_HAZARDOUS_WASTES,376,
INTERNET_CENSORSHIP,375,
TAX_WORLDMAMMALS_RATS,374,
TAX_WORLDMAMMALS_FISHER,372,
TAX_ETHNICITY_BULGARIAN,372,
TAX_FNCACT_CONSUL,371,
WB_1698_COAL_MINING,371,
TAX_WEAPONS_TORPEDOES,371,
TAX_WORLDLANGUAGES_BULGARIAN,371,
TAX_WORLDFISH_TORPEDOES,371,
TAX_FNCACT_CIVIL_SERVANT,371,
TAX_FNCACT_MEDIATOR,370,
TAX_WEAPONS_IMPROVISED_EXPLOSIVE,370,
TAX_FNCACT_MARAUDER,370,
MANMADE_DISASTER_AGROUND,370,
TAX_WORLDLANGUAGES_AMAL,369,
WB_2914_PESTICIDES,369,
TAX_WORLDLANGUAGES_ARIKARA,368,
TAX_FNCACT_QUEENS,368,
TAX_FNCACT_SERVICEMEN,366,
TAX_ETHNICITY_PACIFIC_ISLANDER,365,
TAX_FNCACT_BOARD_MEMBER,364,
TAX_POLITICAL_PARTY_SHAN_NATIONALITIES_LEAGUE,363,
TAX_DISEASE_BACTERIA,363,
TAX_FNCACT_STRIKERS,363,
WB_1927_STRATEGIC_POLICY_PLANNING,363,
WB_700_INEQUALITY_AND_SHARED_PROSPERITY,362,
WB_758_ORPHANS,362,
TAX_WORLDLANGUAGES_BARA,361,
UNGP_SUPPORT_FOR_PEOPLE_WHO_CANT_WORK,361,HumanRights
ECON_GASOLINEPRICE,360,
TAX_FNCACT_ATTENDANT,360,
TAX_FNCACT_HOUSEKEEPERS,360,
TAX_DISEASE_DENGUE_FEVER,360,
WB_643_AGING_POPULATION,359,
EMERG_MASSCASUALTY,359,
WB_2503_WEAPONS_PROLIFERATION_AND_ARMS_CONTROL,357,
SOC_CHILDSOLDIER,357,
WB_2435_CHILD_SOLDIERS,357,
TAX_DISEASE_HEART_DISEASE,356,
TAX_CHRONICDISEASE_HEART_DISEASE,356,
TAX_FNCACT_SETTLERS,354,
TAX_FNCACT_WATCHMEN,353,
NATURAL_DISASTER_WILDFIRES,353,
TAX_WORLDFISH_KOI,352,
TAX_FNCACT_PETTY_OFFICER,352,
TAX_ETHNICITY_KAZAKH,350,
TAX_FNCACT_MARSHAL,349,
TAX_WORLDCRUSTACEANS_PRAWNS,348,
WB_1226_INDUSTRIAL_CLUSTERS_AND_VALUE_CHAINS,348,
TAX_DISEASE_BIRD_FLU,348,
TAX_WORLDLANGUAGES_KAZAKH,348,
WB_1041_PATENTS,347,
TAX_FNCACT_CURATOR,347,
TAX_FNCACT_TRUCK_DRIVER,346,
TAX_WORLDLANGUAGES_BILIN,346,
ECON_WORKINGCLASS,346,
TAX_DISEASE_SYNDROME,346,
TAX_POLITICAL_PARTY_HEZBOLLAH,345,
TAX_DISEASE_DIZZINESS,345,
HUMAN_RIGHTS_ABUSES_MASS_GRAVES,345,HumanRights
TAX_TERROR_GROUP_HEZBOLLAH,345,
TAX_FNCACT_DETECTIVES,345,
TAX_WORLDLANGUAGES_CANTONESE,345,
TAX_WORLDMAMMALS_GOAT,345,
UNREST_ACQUIRE_WEAPONS,344,
TAX_FNCACT_MESSENGER,344,
TAX_ETHNICITY_HOUTHI,343,
TAX_WEAPONS_DRONE_STRIKE,343,
TAX_WORLDLANGUAGES_WANDA,342,
TAX_WORLDLANGUAGES_KURUMI,342,
TAX_DISEASE_HYPERTENSION,342,
ECON_DEVELOPMENTORGS_WORLD_FOOD_PROGRAM,340,
TAX_FNCACT_CROWN_PRINCE,340,
ECON_WORLDCURRENCIES_THAI_BAHT,340,
TAX_DISEASE_NOROVIRUS,339,
TAX_FNCACT_PIRATES,339,
WB_2481_TRANSITIONAL_JUSTICE,339,
TAX_WORLDMAMMALS_AYE_AYE,338,
TAX_DISEASE_MYOMA,338,
TAX_FNCACT_FEMINIST,338,
WB_529_WIND_ENERGY,338,
TAX_MILITARY_TITLE_PETTY_OFFICER,337,
TAX_WORLDLANGUAGES_MANSI,336,
UNREST_NATIONAL_SELF_DEFENSE,336,
TAX_ETHNICITY_COLOMBIAN,336,
TAX_FNCACT_HUNTERS,335,
WB_1615_THERAPEUTIC,335,
TAX_WORLDMAMMALS_DEER,333,
TAX_FNCACT_PEER,333,
TAX_FNCACT_REVEREND,333,
TAX_WORLDFISH_CATFISH,333,
TAX_ETHNICITY_MONTAGNARD,332,
TAX_DISEASE_POISONING,332,
TAX_WORLDLANGUAGES_LIANG,332,
TAX_FNCACT_PASTORS,329,
TAX_WORLDLANGUAGES_MENG,328,
REL_ISLAMOPHOBIA,328,
WB_1625_SUPPORT_SERVICES,328,
TAX_WEAPONS_LAND_MINE,327,
TAX_ETHNICITY_SOMALI,327,
TAX_ETHNICITY_URDU,326,
TAX_WORLDLANGUAGES_SOMALI,326,
POPULATION_DENSITY,325,
TAX_WORLDFISH_SHARKS,325,
TAX_FNCACT_ENTERTAINER,325,
NATURAL_DISASTER_DROWNED,325,
TAX_WORLDMAMMALS_BATS,324,
TAX_FNCACT_BOXER,323,
TAX_DISEASE_FATIGUE,323,
WB_483_VOCATIONAL_EDUCATION_AND_TRAINING,322,Schooling
TAX_WORLDLANGUAGES_ARIKARI,322,
TAX_FNCACT_PROJECT_MANAGER,322,
UNREST_POLICEBRUTALITY,321,
TAX_WORLDBIRDS_CALIFORNIA_CONDOR,321,
TAX_WORLDLANGUAGES_SANSKRIT,321,
TAX_WORLDLANGUAGES_GASCON,320,
TAX_FNCACT_FREELANCER,320,
TAX_FNCACT_CRITICAL_CARE_NURSE,319,
WB_1419_TUBERCULOSIS,318,
TAX_DISEASE_TUBERCULOSIS,318,
TAX_WORLDLANGUAGES_KALAM,318,
TAX_TERROR_GROUP_BOKO_HARAM,318,
TAX_RELIGION_UIGHURS,318,
TAX_FNCACT_FISHERMAN,317,
TAX_FNCACT_PHARMACIST,317,
TAX_ETHNICITY_JAIN,315,
TAX_FNCACT_TRAINERS,315,
TAX_ETHNICITY_NATIVE_AMERICAN,315,
TAX_RELIGION_JAIN,315,
TAX_FNCACT_INSPECTOR_GENERAL,313,
TAX_FNCACT_SHOPKEEPER,313,
TAX_ETHNICITY_CROATIAN,313,
TAX_WEAPONS_SUBMARINES,313,
TAX_WORLDLANGUAGES_BAVARIAN,313,
TAX_WORLDLANGUAGES_CROATIAN,313,
TAX_ETHNICITY_UYGHURS,312,
WB_2156_CONTINUUM_OF_CARE,312,
TAX_WORLDLANGUAGES_UYGHURS,312,
NATURAL_DISASTER_TORRENTIAL_RAINS,312,
TAX_RELIGION_UYGHURS,312,
WB_2898_EXTRACTIVE_INDUSTRIES,312,
TAX_ETHNICITY_NAVAJO,312,
TAX_WORLDLANGUAGES_NAVAJO,312,
TAX_FNCACT_DUCHESS,311,
ECON_DEVELOPMENTORGS_WORLD_HEALTH_ORGANISATION,311,
TAX_WORLDLANGUAGES_SERBIAN,310,
WB_1649_UNEMPLOYMENT_BENEFITS,310,
TAX_FNCACT_1ST_LIEUTENANT,309,
TAX_MILITARY_TITLE_1ST_LIEUTENANT,309,
LEGALIZE,309,
WB_371_BRANCHLESS_BANKING,309,
TAX_FNCACT_CHIEF_PETTY_OFFICER,309,
TAX_MILITARY_TITLE_CHIEF_PETTY_OFFICER,309,
WB_2008_WATER_TREATMENT,308,
TAX_DISEASE_INFECTIOUS_DISEASE,307,
TAX_FNCACT_BOATSWAINS,306,
TAX_FNCACT_BUTLER,306,
TAX_FNCACT_WARLORDS,306,
TAX_WORLDLANGUAGES_HKAMTI,305,
TAX_FNCACT_DETECTIVE,305,
TAX_ETHNICITY_BELARUSIAN,305,
TAX_DISEASE_DISRUPTIVE,304,
TAX_WORLDMAMMALS_MICE,304,
TAX_FNCACT_GROOM,303,
TAX_FNCACT_MAGICIAN,303,
TAX_FNCACT_CARPENTER,302,
TAX_ETHNICITY_CHOP,301,
TAX_FNCACT_PRIME_MINISTERS,301,
TAX_WORLDLANGUAGES_MUANG,299,
TAX_FNCACT_RABBI,299,
TAX_FNCACT_INTERIOR_MINISTER,298,
TAX_FNCACT_CABINET_MINISTER,298,
TAX_FNCACT_INSPECTORS,298,
TAX_FNCACT_PEACEKEEPERS,297,
TAX_FNCACT_CHARGE_DAFFAIRES,297,
NATURAL_DISASTER_ERUPTION,297,
TAX_FNCACT_PHILANTHROPIST,297,
WB_847_COMPANY_AND_CORPORATE_LAW,296,
TAX_WORLDFISH_COD,296,
SLFID_ECONOMIC_POWER,295,
TAX_FNCACT_PEASANT,294,
TAX_ETHNICITY_GERMANS,293,
TAX_WORLDMAMMALS_SHEEP,293,
TAX_FNCACT_COMMANDOS,293,
WB_503_SCHOOL_HEALTH,293,Schooling
TAX_WORLDREPTILES_TORTOISES,292,
TAX_WORLDLANGUAGES_BANGLA,292,
TAX_WORLDLANGUAGES_GERMANS,292,
TAX_WORLDLANGUAGES_LEUNG,291,
TAX_FOODSTAPLES_GRAINS,290,
WB_1705_DISASTER_PREPAREDNESS,290,
TAX_FNCACT_BARTENDER,289,
ECON_BANKRUPTCY,289,
TAX_FNCACT_HELPERS,289,
WB_790_TRANSPORT_AND_SUSTAINABLE_DEVELOPMENT,288,
WB_1808_TRANSPORT_SAFETY,288,
WB_1541_DEWORMING,288,
NATURAL_DISASTER_MUDSLIDE,288,
TAX_FNCACT_DELEGATE,288,
TAX_FNCACT_TELLER,287,
TAX_AIDGROUPS_UNITED_NATIONS_HUMAN_RIGHTS_COUNCIL,287,HumanRights
WB_1721_SPATIAL_PLANNING_AND_LAND_USE,286,
TAX_FNCACT_LEFTIST,286,
NATURAL_DISASTER_POWERFUL_STORM,285,
TAX_WORLDMAMMALS_DOLPHINS,285,
TAX_WORLDLANGUAGES_KONYAK,285,
WB_901_ENVIRONMENTAL_SAFEGUARDS,285,
TAX_FNCACT_SUPERVISORS,285,
TAX_WORLDFISH_BASS,285,
TAX_FNCACT_DEFECTOR,284,
TAX_FNCACT_COACHES,284,
TAX_DISEASE_PLAQUE,283,
TECH_VIRTUALREALITY,283,
TAX_FNCACT_PRACTITIONER,283,
TAX_FNCACT_ACTRESSES,283,
TAX_FNCACT_MINORITY_LEADER,282,
TAX_FNCACT_ASSEMBLYWOMAN,282,Gender_Inequality
SOC_FORCEDRELOCATION,281,
TAX_RELIGION_SIKH,281,
TAX_FNCACT_FARMHAND,281,
UNREST_HUNGERSTRIKE,281,
TAX_WORLDMAMMALS_MOUSE,280,
WB_1700_NONMETALLIC_MINERAL_MINING_AND_QUARRYING,280,
TAX_WORLDCRUSTACEANS_PRAWN,280,
WB_1150_VOLATILITY,280,
UNREST_SELF_IDENTIFIED_HATE_CRIME,280,
TAX_FNCACT_FINANCE_MINISTERS,280,
TAX_ETHNICITY_POLE,280,
TAX_FNCACT_WRANGLER,280,
TAX_RELIGION_HINDUISM,280,
WB_1896_FUNDAMENTAL_AREAS_OF_THE_LAW,280,
TAX_WORLDLANGUAGES_MONGOLIAN,280,
WB_554_MINING_POLICY_LAWS_AND_REGULATIONS,279,
TAX_DISEASE_HIV_AIDS,279,
TAX_FNCACT_CREW_MEMBER,279,
TAX_FNCACT_LANDLORDS,278,
TAX_WORLDCRUSTACEANS_CRABS,278,
WB_341_INVESTMENT_FUNDS,277,
WB_1429_ROAD_SAFETY,277,
WB_784_TRAFFIC_AND_ROAD_SAFETY,277,
TAX_FNCACT_PREACHER,276,
TAX_FNCACT_VALET,276,
TAX_WORLDMAMMALS_LIONS,276,
TAX_FNCACT_EXAMINER,276,
WB_1801_ROAD_TRANSPORT,276,
TAX_FNCACT_BUREAUCRATS,275,
TAX_TERROR_GROUP_ISIL,274,
TAX_FNCACT_COMPANIONS,274,
TAX_ETHNICITY_MANIPURI,273,
TAX_RELIGION_THERAVADA_BUDDHISM,273,
TAX_FNCACT_BOARD_MEMBERS,273,
TAX_FNCACT_GANGSTER,272,
TAX_FNCACT_EXILES,272,
TAX_WORLDMAMMALS_ASIAN_ELEPHANTS,272,
SOC_POINTSOFINTEREST_MEDICAL_CENTERS,272,
UNGP_JOB_OPPORTUNITIES_WORKING_CONDITIONS,270,
TAX_FNCACT_ATTENDANTS,270,
TAX_RELIGION_UIGHUR,270,
TAX_ETHNICITY_LISU,270,
WB_653_ENTERPRISE_ARCHITECTURE,269,
ECON_WORLDCURRENCIES_HONG_KONG_DOLLARS,268,
TAX_ETHNICITY_NEPALESE,268,
TAX_WORLDMAMMALS_WHALE,268,
TAX_FNCACT_PARAMEDICS,267,
TAX_FNCACT_MAYORS,267,
TAX_FNCACT_MECHANICS,267,
TAX_DISEASE_FOODBORNE_ILLNESS,267,
TAX_WORLDLANGUAGES_XIANG,266,
TAX_DISEASE_ASTHMA,266,
TAX_DISEASE_MISCARRIAGE,266,
TAX_CHRONICDISEASE_ASTHMA,266,
TAX_WORLDLANGUAGES_NEPALESE,266,
TAX_WORLDLANGUAGES_UIGHUR,266,
TAX_FNCACT_PROGRAM_DIRECTOR,265,
MANMADE_DISASTER_CAR_CRASH,265,
TAX_WORLDLANGUAGES_MANIPURI,265,
TAX_FNCACT_PEASANTS,265,
WB_2520_REPARATIONS,264,
SOC_POINTSOFINTEREST_AIR_FORCE_BASE,264,
NATURAL_DISASTER_VOLCANIC,264,
TAX_ETHNICITY_ASSAMESE,263,
TAX_DISEASE_RESPIRATORY_ILLNESS,263,
TAX_WORLDLANGUAGES_ASSAMESE,263,
ECON_TRANSPORT_COST,260,
TAX_FNCACT_MAHARAJA,260,
TAX_FNCACT_MAJORITY_LEADER,259,
TAX_POLITICAL_PARTY_COMMUNIST_PARTY_OF_CHINA,259,
WB_865_TRADE_CORRIDORS,257,
WB_1070_ECONOMIC_GROWTH_POLICY,257,
WB_829_FISCAL_DECENTRALIZATION,257,
REL_ANTISEMITISM,256,
TAX_AIDGROUPS_AHA_CENTRE,256,
TAX_TERROR_GROUP_TABLIGHI_JAMAAT,254,
TAX_FNCACT_NEWS_REPORTER,254,
TAX_FNCACT_BUTCHER,254,
TAX_ETHNICITY_LUO,254,
TAX_WORLDLANGUAGES_NOTRE,253,
TAX_POLITICAL_PARTY_SOCIALIST_PARTY,252,
TAX_WORLDMAMMALS_RAT,252,
TAX_FNCACT_IMAM,252,
TAX_WORLDLANGUAGES_OSHIMA,252,
WB_515_POWER_SECTOR_POLICY_AND_INSTITUTIONS,251,
TAX_WORLDLANGUAGES_SIAMESE,251,
TAX_WORLDREPTILES_CROCODILES,250,
WB_417_CORPORATE_GOVERNANCE,250,
WB_519_UTILITIES_GOVERNANCE_AND_PERFORMANCE,250,
WB_640_POPULATION_AND_DEMOGRAPHIC_CHANGE,249,
TAX_CHRONICDISEASE_POOR_HEALTH,249,
TAX_TERROR_GROUP_UNLF,249,
WB_358_RETAIL_PAYMENTS,248,
TAX_WORLDMAMMALS_KANGAROO,248,
TAX_WEAPONS_MOLOTOV_COCKTAIL,248,
TAX_RELIGION_SHAKER,246,
NATURAL_DISASTER_DROWNING,246,
TAX_FNCACT_PRELATE,245,
WB_1607_HEALTH_BENEFITS,245,
TAX_POLITICAL_PARTY_UNITY_PARTY,244,
NATURAL_DISASTER_TORNADO,244,
TAX_WORLDLANGUAGES_HMONG,244,
TAX_FNCACT_COPY_EDITOR,244,
WB_817_LAND_AND_HOUSING,243,
WB_744_SOCIAL_ANALYSIS,241,
TAX_WORLDBIRDS_TUI,241,
WB_828_ELECTRONIC_PAYMENTS,241,
TAX_ETHNICITY_HMONG,240,
WB_2736_RETURNS_TO_WORK,240,
TAX_DISEASE_COMMUNICABLE,240,
TAX_WORLDFISH_POACHERS,240,
EPU_POLICY_MINISTRY_OF_FINANCE,240,
TAX_FNCACT_JAILER,240,
WB_821_DISASTER_RISK_REDUCTION,239,
HUMAN_RIGHTS_ABUSES_ENFORCED_DISAPPEARANCE,239,HumanRights
TAX_ETHNICITY_VENEZUELAN,238,
TAX_AIDGROUPS_DOCTORS_WITHOUT_BORDERS,238,
TAX_WORLDLANGUAGES_BACHA,237,
TAX_WORLDLANGUAGES_ZEDONG,236,
TAX_WORLDMAMMALS_RABBIT,236,
WB_776_TRADE_POLICY,236,
TAX_DISEASE_CORONAVIRUSES,236,
NATURAL_DISASTER_HEAT_WAVES,236,
TAX_FNCACT_KNIGHTS,235,
TAX_FNCACT_FEDERAL_OFFICIALS,235,
ECON_WORLDCURRENCIES_CHINESE_YUAN,235,
TAX_ETHNICITY_NEW_ZEALANDERS,235,
WB_568_CLIMATE_SERVICES,234,
TAX_ETHNICITY_WELSH,234,
TAX_WORLDLANGUAGES_WELSH,234,
TAX_DISEASE_VIRAL_PNEUMONIA,234,
TAX_WORLDLANGUAGES_PALEMBANG,234,
TAX_ETHNICITY_HOUTHIS,233,
TAX_ETHNICITY_LAHU,233,
TAX_FNCACT_PROPHET,233,
TAX_POLITICAL_PARTY_KUOMINTANG,233,
TAX_FNCACT_REFORMIST,233,
TAX_FNCACT_PATHOLOGIST,232,
TAX_FNCACT_APPOINTEE,232,
WB_1676_EARLY_RETIREMENT,232,
WB_533_ENERGY_EFFICIENCY,232,
TAX_FNCACT_SCOUT,230,
TAX_WORLDLANGUAGES_CHAKMA,230,
TAX_WORLDLANGUAGES_TEPE,230,
TAX_FNCACT_JURISTS,229,
TAX_FNCACT_COPILOT,229,
TAX_POLITICAL_PARTY_LABOUR_PARTY,228,
TAX_AIDGROUPS_UNITED_NATIONS_DEVELOPMENT_PROGRAMME,228,
TAX_FNCACT_MILITARY_MEN,227,
TAX_WORLDLANGUAGES_ARIANA,227,
TAX_WORLDLANGUAGES_AVANI,226,
EMERG_SHELTERINPLACE,226,
TAX_FNCACT_EDUCATOR,226,Schooling
TAX_FNCACT_BREADWINNER,226,
TAX_WORLDLANGUAGES_ADELE,225,
WB_2477_POWER_SHARING_AGREEMENTS,225,
WB_351_PAYMENT_AND_MARKET_INFRASTRUCTURE,225,
TAX_DISEASE_PLAGUE,225,
WB_2363_MOBILE_APPLICATIONS,225,
WB_1800_RAIL_TRANSPORT,223,
TAX_FNCACT_GEOLOGIST,222,
TAX_FNCACT_COURIER,222,
TAX_WORLDLANGUAGES_BAL,222,
TAX_FNCACT_TREASURER,221,
TAX_FNCACT_ASSOCIATE_DIRECTOR,221,
TAX_FNCACT_TOUR_GUIDE,221,
TAX_FNCACT_SOCIAL_WORKER,220,
TAX_FNCACT_ASSISTANTS,219,
TAX_WORLDLANGUAGES_UKRAINIANS,219,
TAX_ETHNICITY_UKRAINIANS,219,
TAX_FNCACT_CARDINALS,219,
TAX_WORLDMAMMALS_WILD_BOAR,218,
TAX_DISEASE_ILLUSIONS,218,
WB_594_WETLANDS,218,
WB_427_WATER_ALLOCATION_AND_WATER_ECONOMICS,217,
WB_2666_LIFE_EXPECTANCY,216,
TAX_POLITICAL_PARTY_NATIONALIST_PARTY,216,
WB_494_EDUCATION_AND_ICT,216,Schooling
TAX_FNCACT_MAGISTRATES,216,
TAX_WEAPONS_SMALL_ARMS_FIRE,215,
WB_874_LOCAL_FINANCE,215,
TAX_FNCACT_ROBBERS,215,
TAX_WORLDMAMMALS_DOLPHIN,215,
TAX_AIDGROUPS_JAPAN_INTERNATIONAL_COOPERATION_AGENCY,215,
TAX_WORLDLANGUAGES_CAJUN,215,
ECON_DEVELOPMENTORGS_JAPAN_INTERNATIONAL_COOPERATION_AGENCY,215,
WB_2399_ICT_INNOVATION_AND_TRANSFORMATION,214,
